size,row_ms,col_ms
64,0.099,0.097
64,0.086,0.086
64,0.106,0.104
64,0.039,0.037
64,0.092,0.087
128,0.311,0.303
128,0.306,0.293
128,0.276,0.252
128,0.268,0.253
128,0.240,0.224
256,0.927,0.946
256,0.883,0.847
256,0.823,0.789
256,0.832,0.798
256,0.773,0.734
512,2.921,2.745
512,2.686,2.607
512,2.549,2.427
512,2.543,2.355
512,2.408,2.326
1024,9.230,9.113
1024,9.164,8.966
1024,9.012,9.385
1024,9.101,9.283
1024,9.206,9.467
2048,38.844,42.706
2048,38.072,42.715
2048,37.714,40.884
2048,38.182,41.923
2048,38.229,41.493
4096,158.221,266.172
4096,155.877,266.354
4096,156.641,276.232
4096,156.450,266.527
4096,156.183,267.541
